rank,name,github stars
738,pollination-dsl,4
739,xdg,78
740,path,1007
741,pyelftools,1498
742,atomicwrites,310
743,boltons,5863
744,jstruct,3
745,minio,533
746,aio-pika,869
747,django-treebeard,896
748,thonny,1919
749,chess,1809
750,nameko,4381
751,odooku-odoo-base,2
752,speechrecognition,6461
753,mysql-connector,
754,neon-utils,1
755,aws-cdk-cx-api,9140
756,pyxdg,
757,cherrypy,1580
758,pygit2,1441
759,zope-event,39
760,twilio,1604
761,environs,892
762,zope-schema,5
763,lmfit,
764,sparqlwrapper,449
765,cfn-flip,927
766,lz4,212
767,tablib,4156
768,msgpack-python,
769,ijson,473
770,simpleitk,645
771,gdown,2313
772,ratelimit,537
773,django-mptt,2662
774,pyserial-asyncio,199
775,autobahn,2370
776,beancount,2132
777,dynaconf,2606
778,msal,447
779,click-log,102
780,azure-identity,2982
781,scipion-em,4
782,pyopengl,
783,jarowinkler,5
784,pyqt6,
785,clint,78
786,channels,5392
787,google-cloud-firestore,157
788,crayons,414
789,lightgbm,14134
790,intervaltree,509
791,zarr,970
792,responses,3680
793,spotipy,
794,django-crispy-forms,4522
795,billiard,352
796,azureml-core,
797,pymupdf,1745
798,lockfile,
799,googletrans,3111
800,parsimonious,1537
801,dagster,5357
802,tensorflow-gpu,167530
803,readme-renderer,133
804,pdf2image,1079
805,ua-parser,458
806,snowflake-connector-python,356
807,rx,4279
808,ae-base,
809,mkdocs-material-extensions,25
810,pyinstaller,9492
811,aniso8601,
812,python-gnupg,28
813,s3fs,581
814,playsound,365
815,pycurl,
816,pyotp,2119
817,eth-hash,79
818,libcst,987
819,aiosqlite,704
820,futures,222
821,crcmod,
822,qiskit,2690
823,jupyter-server-proxy,253
824,jupyterlab-server,110
825,textual,13294
826,praw,2885
827,hydra-core,6262
828,argon2-cffi,359
829,python-can,851
830,opentelemetry-sdk,1024
831,tensorflow-probability,3761
832,hyperlink,260
833,attrdict,257
834,flask-login,3127
835,asyncssh,1237
836,pygtrie,24
837,social-auth-core,714
838,json,
839,python-editor,74
840,hvac,1007
841,discord,11372
842,filetype,422
843,oss2,
844,odoo14-addon-shopinvader,88
845,click-didyoumean,
846,oyaml,143
847,autopep8,4146
848,webcolors,101
849,understory,
850,colour,257
851,google-cloud-pubsub,219
852,elasticsearch-dsl,3534
853,indico,1377
854,vapoursynth,1093
855,scanpy,1264
856,service-identity,82
857,pop,
858,types-requests,8
859,oslo-serialization,
860,pykka,1049
861,tokenize-rt,37
862,adafruit-circuitpython-register,33
863,acme,29234
864,pysftp,
865,ansicolors,32
866,addict,2275
867,yapf,
868,toposort,
869,nbclassic,
870,msrestazure,17
871,langcodes,254
872,keystoneauth1,
873,pigpio,
874,amqp,281
875,scp,457
876,trytond-account,
877,quart,1334
878,inmanta-module-std,
879,panflute,377
880,wandb,4668
881,napalm,1930
882,pypiwin32,
883,wasabi,
884,partd,92
885,eth-account,160
886,oslo-log,
887,hiredis,434
888,bibtexparser,316
889,progressbar,
890,dbus-python,
891,colorzero,24
892,datasets,14024
893,dxlclient,
894,dulwich,1770
895,whitenoise,2065
896,singer-python,
897,trytond-currency,
898,kivy-garden,
899,pygraphviz,638
900,domdf-python-tools,1
901,markdown2,2364
902,wand,1200
903,cvxpy,4057
904,fastai,22703
905,imutils,4173
906,python-igraph,1004
907,folium,5873
908,makefun,76
909,rpy2,312
910,catalogue,131
911,libsass,520
912,django-taggit,2905
913,patsy,848
914,netmiko,2843
915,cycler,59
916,types-setuptools,8
917,aws-cdk-region-info,9140
918,yfinance,7582
919,httpie,23447
920,raven,1676
921,i3ipc,757
922,pypinyin,3994
923,eth-ape,488
924,pamqp,52
925,opencensus,627
926,django-filer,1553
927,termcolor-whl,1
928,debtcollector,
929,cmd2,485
930,mido,
931,enum-compat,4
932,portalocker,193
933,pulp,1484
934,logbook,
935,pycups,54
936,python-consul,461
937,pandocfilters,428
938,aiormq,190
939,ghp-import,541
940,tapioca-wrapper,339
941,factory-boy,2919
942,ats-utilities,
943,tensorflow-addons,
944,genshi,69
945,hexbytes,15
946,param,286
947,twitter-common-lang,2078
948,vtk,
949,azure-cli-core,3221
950,cvxopt,849
951,cloudscraper,2229
952,mediapipe,18569
953,dash-html-components,153
954,pystache,5
955,pyhumps,231
956,wordcloud,8969
957,easydict,204
958,pysha3,27
959,compas,228
960,shiboken6,
961,tinycss2,109
962,graphene-django,3910
963,pymatgen,
964,click-repl,182
965,pantsbuild-pants,2175
966,pooch,307
967,gtts,1620
968,mmh3,232
969,pyqt6-sip,
970,eth-abi,177
971,opentelemetry-semantic-conventions,1024
972,automat,481
973,pypng,
974,dash-core-components,
975,neo4j,732
976,altgraph,9
977,odoo14-addon-queue-job,131
978,monotonic,65
979,textblob,8259
980,ftfy,
981,aiida-core,326
982,uncertainties,427
983,jsonfield,1135
984,tensorboardx,7422
985,pytest-asyncio,994
986,aws-cdk-cloud-assembly-schema,9140
987,venusian,
988,sqlmodel,8463
989,cliar,48
990,arpeggio,239
991,pymdown-extensions,629
992,beartype,1287
993,itk-core,
994,mne,2011
995,orderedmultidict,60
996,transaction,57
997,constantly,19
998,autograd,5957
999,pyecharts,12689
1000,click-default-group,56
